Job Number,Filepath,Planning Enforcement Reference Number,Address,Date,Document Type,BS7666UPRN,Easting,Northing
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\LABURNUM, BRISLANDS LANE, FOUR MARKS_TGP-DLB-10-6.pdf",TGP/DLB/10/6,"LABURNUM, BRISLANDS LANE, FOUR MARKS",22/10/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\Connaught Close, Forest Road, Bordon, GU35 0XP_MB-SVF.pdf",MB/SVF,"Connaught Close, Forest Road, Bordon, GU35 0XP",09/09/1983,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\6 STAIRS HILL COTTAGES, EMPSHOTT, LISS, HAMPSHIRE_CW-SJ-F.26147(Enf).pdf",CW/SJ/F.26147(Enf),"6 STAIRS HILL COTTAGES, EMPSHOTT, LISS, HAMPSHIRE",18/06/1981,Planning Enforcement Appeal Decision,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\3 GRAYSHOTT TERRACE, CROSSWAYS ROAD, GRAYSHOTT_PT-SN-12-9-129.pdf",PT/SN/12/9/129,"3 GRAYSHOTT TERRACE, CROSSWAYS ROAD, GRAYSHOTT",21/08/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\LAND ADJOINING COOMBE DELL, ALTON LANE, FOUR MARKS_PT-DLB-12-9-134.pdf",PT/DLB/12/9/134,"LAND ADJOINING COOMBE DELL, ALTON LANE, FOUR MARKS",22/08/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3-4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA_PT-ME-12-9.pdf",PT/ME/12/9,"3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3/4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA",18/07/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3-4 Deal Cottages, Greatham, Robinswood, Lith Avenue, Catherington Lith, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA_TGP-ME-10-6.pdf",TGP/ME/10/6,"3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3/4 Deal Cottages, Greatham, Robinswood, Lith Avenue, Catherington Lith, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA",22/07/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3-4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA_PT-ME-12-9_00001.pdf",PT/ME/12/9,"3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3/4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA",21/07/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3-4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA_PT-ME-12-9_00002.pdf",PT/ME/12/9,"3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3/4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA",21/07/1980,Planning Enforcement Notice,,,
JN24960,"Box 24_Client Box 24\ENF Notices Jan 80 - Dec 81 19\3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3-4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA_PT-ME-12-9_00003.pdf",PT/ME/12/9,"3 Fieldfare Close, Clanfield, 4 Fieldfare Close, Clanfield, 3/4 Deal Cottages, Greatham, Liss, Robinswood, Lith Avenue, Catherington Lith, Horndean, Waterlooville, PO8 0NQ, GU33 6EU, PO8 0HA",21/07/1980,Planning Enforcement Notice,,,
