Job Number,Filepath,Address,Date,BS7666UPRN,Easting,Northing
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\BRACKEN, THE MOUNT, HEADLEY, BORDON, GU35 8AG_21-04-1978.pdf","BRACKEN, THE MOUNT, HEADLEY, BORDON, GU35 8AG",21/04/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\BUILDERS YARD, GREVILLE HOUSE, UPPER WIELD_15-03-1978.pdf","BUILDERS YARD, GREVILLE HOUSE, UPPER WIELD",15/03/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\COACH HOUSE, 'DELAFORD', BATTS CORNER, DOCKENFIELD_01-06-1978.pdf","COACH HOUSE, 'DELAFORD', BATTS CORNER, DOCKENFIELD",01/06/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\CRANFORD ROAD, PETERSFIELD, GU32 3LX_00-06-1978.pdf","CRANFORD ROAD, PETERSFIELD, GU32 3LX",00/06/1978,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\CRANFORD ROAD, PETERSFIELD, GU32 3LX_19-09-1977_00001.pdf","CRANFORD ROAD, PETERSFIELD, GU32 3LX",19/09/77,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\CRANFORD ROAD, PETERSFIELD, GU32 3LX_19-09-1977.pdf","CRANFORD ROAD, PETERSFIELD, GU32 3LX",19/09/77,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\DEAN HOUSE, HOOK LANE, ROPLEY, ALRESFORD, SO24 0BG_31-10-1980.pdf","DEAN HOUSE, HOOK LANE, ROPLEY, ALRESFORD, SO24 0BG",31/10/80,1710100428,462990.00,131957.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\DELLHOUSE FARM, MONKWOOD, ROPLEY, HANTS_02-03-1978.pdf","DELLHOUSE FARM, MONKWOOD, ROPLEY, HANTS",02/03/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\FLORENCE TRELOAR SCHOOL, POWELL DRIVE, HOLYBOURNE, ALTON, GU34 4GL_24-05-1978.pdf","FLORENCE TRELOAR SCHOOL, POWELL DRIVE, HOLYBOURNE, ALTON, GU34 4GL",24/05/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\FOUR WINDS, BIRDWORLD, PETERSFIELD ROAD, HOLT POUND, BINSTED_13-12-1979.pdf","FOUR WINDS, BIRDWORLD, PETERSFIELD ROAD, HOLT POUND, BINSTED",13/12/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\HAMMER TROUT HATCHERY, HEWSHOTT LANE, LIPHOOK_10-01-1977.pdf","HAMMER TROUT HATCHERY, HEWSHOTT LANE, LIPHOOK",10/01/77,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\HATTINGLEY HOUSE, HATTINGLEY ROAD, MEDSTEAD, ALTON, GU34 5NQ_26-01-1979.pdf","HATTINGLEY HOUSE, HATTINGLEY ROAD, MEDSTEAD, ALTON, GU34 5NQ",26/01/79,1710002859,464200.68,137182.48
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\HENDON ROAD, FORMER PINE TREES CARAVAN TREES CARAVAN PARK, BORDON_10-07-1979.pdf","HENDON ROAD, FORMER PINE TREES CARAVAN TREES CARAVAN PARK, BORDON",10/07/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\HIGH BRECK, SPATS LANE, HEADLEY, BORDON, GU35 8SY_15-06-1979.pdf","HIGH BRECK, SPATS LANE, HEADLEY, BORDON, GU35 8SY",15/06/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\HIGH STREET AND MARKET STREET, ALTON_12-12-1978.pdf","HIGH STREET AND MARKET STREET, ALTON",12/12/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\HOGMOOR ROAD AND GOLF LANE, WHITEHILL_27-06-1978.pdf","HOGMOOR ROAD AND GOLF LANE, WHITEHILL",27/06/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\IDSWORTH HOUSE, HORNDEAN, HAMPSHIRE_26-04-1977.pdf","IDSWORTH HOUSE, HORNDEAN, HAMPSHIRE",26/04/77,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\LAND AT MOUNT PLEASANT, ROPLEY AND 3 NEW BARN COTTAGES, PARK LANE, ROPLEY, ALRESFORD, SO24 0BE_28-12-1979.pdf","LAND AT MOUNT PLEASANT, ROPLEY AND 3 NEW BARN COTTAGES, PARK LANE, ROPLEY, ALRESFORD, SO24 0BE",28/12/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\QUEENS ROAD, LONGMOOR_10-07-1979.pdf","QUEENS ROAD, LONGMOOR",10/07/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\SANDOMS, HOLT END LANE, BENTWORTH, ALTON, GU34 5LF_06-07-1979.pdf","SANDOMS, HOLT END LANE, BENTWORTH, ALTON, GU34 5LF",06/07/79,1710004608,466108.74,139228.34
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\STAFF COTTAGE, BRAMSHOTT CHASE_20-12-1979.pdf","STAFF COTTAGE, BRAMSHOTT CHASE",20/12/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\SUNNYSIDE RIDING STABLES, HEADLEY ROAD, LIPHOOK_24-01-1978.pdf","SUNNYSIDE RIDING STABLES, HEADLEY ROAD, LIPHOOK",24/01/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\TROTTSFORD FARM, SLEAFORD, BORDON_09-10-1990.pdf","TROTTSFORD FARM, SLEAFORD, BORDON",09/10/90,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\WEST END FARM, SPOLLYCOMBE LANE, UPPER FROYLE, ALTON, GU34 4JR_04-05-1977.pdf","WEST END FARM, SPOLLYCOMBE LANE, UPPER FROYLE, ALTON, GU34 4JR",04/05/77,10009815602,475262.78,142589.44
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\WESTON FARM, WESTON LANE, WESTON, PETERSFIELD, GU32 3NW_31-05-1978.pdf","WESTON FARM, WESTON LANE, WESTON, PETERSFIELD, GU32 3NW",31/05/78,10032898586,472912.09,122036.14
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\WINCHESTER HOUSE-PRINCES ROAD, PETERSFIELD_12-04-1978.pdf","WINCHESTER HOUSE/PRINCES ROAD, PETERSFIELD",12/04/78,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\WINCHESTER ROAD, PETERSFIELD, GU32 3BL_15-03-1979.pdf","WINCHESTER ROAD, PETERSFIELD, GU32 3BL",15/03/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\WINCHESTER ROAD, PETERSFIELD, GU32 3BL_19-03-1979.pdf","WINCHESTER ROAD, PETERSFIELD, GU32 3BL",19/03/79,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 77-Dec 79 2\WOODCOT, ALMA ROAD, HEADLEY DOWN, BORDON, GU35 8JR_14-02-1977.pdf","WOODCOT, ALMA ROAD, HEADLEY DOWN, BORDON, GU35 8JR",14/02/77,100060268516,484302.95,136017.11
JN24960,Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\'RIVERVIEW' CHURCH STREET_31-12-1983.pdf,'RIVERVIEW' CHURCH STREET,31/12/83,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\19-23 NORMANDY STREET, ALTON, GU34 1DE_08-02-1983.pdf","19/23 NORMANDY STREET, ALTON, GU34 1DE",08/02/83,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\4 DEAN STANLEY STREET, MILLBANK LONDON SW1P 3HV_01-10-1982.pdf","4 DEAN STANLEY STREET, MILLBANK LONDON SW1P 3HV",01/10/82,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\62 WINDMILL HILL, ALTON, GU34 2SL_05-04-1982.pdf","62 WINDMILL HILL, ALTON, GU34 2SL",05/04/82,1710026114,472433.90,138731.80
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\63 SOUTH AUDLEY STREET, LONDON W1Y 6HJ_05-01-1981.pdf","63 SOUTH AUDLEY STREET, LONDON W1Y 6HJ",05/01/81,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\64 HIGH STREET, ALTON, GU34 1ET_10-01-1984.pdf","64 HIGH STREET, ALTON, GU34 1ET",10/01/84,1710020976,471671.00,139276.00
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\9 CROSS AND PILLORY LANE, ALTON_19-06-1981.pdf","9 CROSS AND PILLORY LANE, ALTON",19/06/81,,,
JN24960,Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\AMERY HURST TEOMANS PLACE HEADLEY BORDON IN HAMPSHIRE_18-12-1981.pdf,AMERY HURST TEOMANS PLACE HEADLEY BORDON IN HAMPSHIRE,18/12/81,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\ANNEXE TO 169 TH CAUSEWAY, PETERSFIELD_12-01-1983.pdf","ANNEXE TO 169 TH CAUSEWAY, PETERSFIELD",12/01/83,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\ARMSWORTH HILL FARM, HILL LANE, OLD ALRESFORD, ALRESFORD, SO24 9RJ_06-01-1981.pdf","ARMSWORTH HILL FARM, HILL LANE, OLD ALRESFORD, ALRESFORD, SO24 9RJ",06/01/81,10032905639,461154.55,138046.93
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\BRACKEN, THE MOUNT, HEADLEY, BORDON, GU35 8AG_12-10-1983.pdf","BRACKEN, THE MOUNT, HEADLEY, BORDON, GU35 8AG",12/10/83,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\CHAMPLERS FARM, HAWKLEY_12-11-1980.pdf","CHAMPLERS FARM, HAWKLEY",12/11/80,,,
JN24960,"Box 01_Client Box 01\Section 52 Agreement Jan 80 - Jan 84\COLEMORE HOUSE, COLEMORE LANE, COLEMORE, ALTON, GU34 3RX_06-11-1980.pdf","COLEMORE HOUSE, COLEMORE LANE, COLEMORE, ALTON, GU34 3RX",06/11/80,1710104930,470656.95,130800.98
