Job Number,Filepath,Address,BS7666UPRN,Easting,Northing
JN24963,"Box 02\Street No. M'Stead Newton Valence\Meadow Barn, Wield Road, Medstead, Alton, GU34 5NH.pdf","Meadow Barn, Wield Road, Medstead, Alton, GU34 5NH",100060267773,464294.92,138011.7
JN24963,"Box 02\Street No. M'Stead Newton Valence\Oakfield, Wield Road, Medstead, Alton, GU34 5LP.pdf","Oakfield, Wield Road, Medstead, Alton, GU34 5LP",100060267778,465458,137123
JN24963,"Box 02\Street No. M'Stead Newton Valence\Oakwood, Wield Road, Medstead, Alton, GU34 5NJ.pdf","Oakwood, Wield Road, Medstead, Alton, GU34 5NJ",100060267779,464910,137390
JN24963,"Box 05\Medstead\Oak House, Wield Road, Medstead, Alton, GU34 5LY.pdf","Oak House, Wield Road, Medstead, Alton, GU34 5LY",100060267788,465342,137237
JN24963,"Box 02\Street No. M'Stead Newton Valence\The Yews, Wield Road, Medstead, Alton, GU34 5LY.pdf","The Yews, Wield Road, Medstead, Alton, GU34 5LY",100060267789,465283,137196
JN24963,"Box 02\Street No. M'Stead Newton Valence\Windham Hill, Wield Road, Medstead, Alton, GU34 5NJ.pdf","Windham Hill, Wield Road, Medstead, Alton, GU34 5NJ",100060267791,465130,137291
JN24963,"Box 11\Street No. Four Marks\2 Winchester Road, Four Marks, Alton, GU34 5HD.pdf","2 Winchester Road, Four Marks, Alton, GU34 5HD",100060267927,467534,135518
JN24963,"Box 11\Street No. Four Marks\Alcobaca, 7 Winchester Road, Four Marks, Alton, GU34 5HD.pdf","Alcobaca, 7 Winchester Road, Four Marks, Alton, GU34 5HD",100060267932,467287,135393
JN24963,"Box 06\Miscellaneous\Yew Tree House, 69 Winchester Road, Four Marks, Alton, GU34 5HR.pdf","Yew Tree House, 69 Winchester Road, Four Marks, Alton, GU34 5HR",100060267957,466930.7,135042.3
JN24963,"Box 03\Four Marks\81 Winchester Road, Four Marks, Alton, GU34 5HR.pdf","81 Winchester Road, Four Marks, Alton, GU34 5HR",100060267969,466844,134983
JN24963,"Box 11\Street No. Four Marks\87A Winchester Road, Four Marks, Alton, GU34 5HS.pdf","87A Winchester Road, Four Marks, Alton, GU34 5HS",100060267974,466781,134959
JN24963,"Box 11\Street No. Four Marks\Taranaki, 101 Winchester Road, Four Marks, Alton, GU34 5HS.pdf","Taranaki, 101 Winchester Road, Four Marks, Alton, GU34 5HS",100060267990,466683,134903
JN24963,"Box 11\Street No. Four Marks\117 Winchester Road, Four Marks, Alton, GU34 5HU.pdf","117 Winchester Road, Four Marks, Alton, GU34 5HU",100060268003,466347,134770
JN24963,"Box 03\Four Marks\Onemli, 126 Winchester Road, Four Marks, Alton, GU34 5HZ.pdf","Onemli, 126 Winchester Road, Four Marks, Alton, GU34 5HZ",100060268012,466101,134697
JN24963,"Box 11\Street No. Four Marks\137 Winchester Road, Four Marks, Alton, GU34 5HY.pdf","137 Winchester Road, Four Marks, Alton, GU34 5HY",100060268021,466165,134648
JN24963,"Box 11\Street No. Four Marks\Harlyn, 171 Winchester Road, Four Marks, Alton, GU34 5HY.pdf","Harlyn, 171 Winchester Road, Four Marks, Alton, GU34 5HY",100060268045,465871,134480
JN24963,"Box 11\Street No. Four Marks\179 Winchester Road, Four Marks, Alton, GU34 5HY.pdf","179 Winchester Road, Four Marks, Alton, GU34 5HY",100060268050,465790,134438.1
JN24963,"Box 11\Street No. Binsted, Chawton, Buriton\Wyck Barn, Wyck Lane, Binsted, Alton, GU34 3AL.pdf","Wyck Barn, Wyck Lane, Binsted, Alton, GU34 3AL",100060268377,475948.62,139776.13
JN24963,"Box 10\Street No. Heapley\Edelweiss, Alma Road, Headley Down, Bordon, GU35 8JR.pdf","Edelweiss, Alma Road, Headley Down, Bordon, GU35 8JR",100060268505,484305,136060
JN24963,"Box 10\Street No. Kingsley, Langrish, Lasham, Lindford\1 Azalea Avenue, Lindford, Bordon, GU35 0YD.pdf","1 Azalea Avenue, Lindford, Bordon, GU35 0YD",100060268832,481093,136197
JN24963,"Box 10\Street No. Heapley\Chestnut House, Barley Mow Hill, Headley, Bordon, GU35 8AE.pdf","Chestnut House, Barley Mow Hill, Headley, Bordon, GU35 8AE",100060268855,483042,136866
JN24963,"Box 10\Street No. Heapley\Greengages, Barley Mow Hill, Headley, Bordon, GU35 8AE.pdf","Greengages, Barley Mow Hill, Headley, Bordon, GU35 8AE",100060268857,483354,136861
JN24963,"Box 04\Headley\Beechcroft, Beech Hill, Headley Down, Bordon, GU35 8EQ.pdf","Beechcroft, Beech Hill, Headley Down, Bordon, GU35 8EQ",100060268952,483634,136105
JN24963,"Box 06\Miscellaneous\Greenhills, Southview Road, Headley Down, Bordon, GU35 8HY.pdf","Greenhills, Southview Road, Headley Down, Bordon, GU35 8HY",100060268983,483702,136390
JN24963,"Box 10\Street No. Heapley\Pilsdon, Beech Hill, Headley Down, Bordon, GU35 8HS.pdf","Pilsdon, Beech Hill, Headley Down, Bordon, GU35 8HS",100060268985,483667,136417
JN24963,"Box 01\Street No. W'Hill A-F\10 Branson Road, Bordon, GU35 0EQ.pdf","10 Branson Road, Bordon, GU35 0EQ",100060269313,480305,135430
JN24963,"Box 01\Street No. W'Hill A-F\The Erb's, 52 Branson Road, Bordon, GU35 0EH.pdf","The Erb's, 52 Branson Road, Bordon, GU35 0EH",100060269355,480308,135608
JN24963,"Box 01\Street No. W'Hill A-F\2A Branson Road, Bordon, GU35 0EQ.pdf","2A Branson Road, Bordon, GU35 0EQ",100060269365,480265.899753244,135380.715496415
JN24963,"Box 10\Street No. Heapley\Carisbrooke, 18 Carlton Road, Headley Down, Bordon, GU35 8JW.pdf","Carisbrooke, 18 Carlton Road, Headley Down, Bordon, GU35 8JW",100060269502,484427,136116
JN24963,"Box 10\Street No. Heapley\Gardeners Cottage, 26 Carlton Road, Headley Down, Bordon, GU35 8JW.pdf","Gardeners Cottage, 26 Carlton Road, Headley Down, Bordon, GU35 8JW",100060269520,484370,135988
JN24963,"Box 06\Bordon\86 Chalet Hill, Bordon, GU35 0BQ.pdf","86 Chalet Hill, Bordon, GU35 0BQ",100060269589,479889,135263
JN24963,"Box 10\Street No. Heapley\Old Halliwell, Churt Road, Headley, Bordon, GU35 8SR.pdf","Old Halliwell, Churt Road, Headley, Bordon, GU35 8SR",100060269892,483461,137289
JN24963,"Box 10\Street No. Heapley\Tristan Farm, Churt Road, Headley, Bordon, GU35 8SR.pdf","Tristan Farm, Churt Road, Headley, Bordon, GU35 8SR",100060269895,483804,137226
JN24963,"Box 06\Bordon\The Trossachs, 18 Coniston Road, Bordon, GU35 0NP.pdf","The Trossachs, 18 Coniston Road, Bordon, GU35 0NP",100060269957,479484,136317
JN24963,"Box 10\Street No. Heapley\Heatherset, Downsview Road, Headley Down, Bordon, GU35 8JH.pdf","Heatherset, Downsview Road, Headley Down, Bordon, GU35 8JH",100060270132,484164,136318
JN24963,"Box 01\Street No. Rowlands Castle\Bracken Cottage, Drift Road, Whitehill, Bordon, GU35 9EA.pdf","Bracken Cottage, Drift Road, Whitehill, Bordon, GU35 9EA",100060270149,478518,133806
JN24963,"Box 06\Whitehill\Bramble Cottage, Drift Road, Whitehill, Bordon, GU35 9EA.pdf","Bramble Cottage, Drift Road, Whitehill, Bordon, GU35 9EA",100060270150,478512,133801
JN24963,"Box 06\Miscellaneous\Bookkeepers Cottage, Drift Road, Whitehill, Bordon, GU35 9DZ.pdf","Bookkeepers Cottage, Drift Road, Whitehill, Bordon, GU35 9DZ",100060270167,478507.66,133865.01
JN24963,"Box 01\Street No. W'Hill A-F\Silverdale, Drift Road, Whitehill, Bordon, GU35 9DZ.pdf","Silverdale, Drift Road, Whitehill, Bordon, GU35 9DZ",100060270172,478613.12,133895.61
JN24963,"Box 04\Headley Down, Stanford - Sleaford Churt\Coppice Wood, 30 Fairview Road, Headley Down, Bordon, GU35 8HG.pdf","Coppice Wood, 30 Fairview Road, Headley Down, Bordon, GU35 8HG",100060270406,484209,136195
JN24963,"Box 04\Headley\Littletree, 56 Fairview Road, Headley Down, Bordon, GU35 8HQ.pdf","Littletree, 56 Fairview Road, Headley Down, Bordon, GU35 8HQ",100060270417,484021,136280
JN24963,"Box 04\Headley Down, Stanford - Sleaford Churt\Dalhousie, 26 Fairview Road, Headley Down, Bordon, GU35 8HG.pdf","Dalhousie, 26 Fairview Road, Headley Down, Bordon, GU35 8HG",100060270423,484235,136195
